# eBE(cm-1)  int. (rel. X0)  beta
30595.585      0.08624      -1.26998
30621.481      0.05245      -1.26854
30647.329      0.05959      -1.44378
30673.129      0.16411      -1.26554
30698.881      0.13902      -0.84088
30724.585     -0.00484      -2.77770
30750.241     -0.03429      -3.88463
30775.849      0.11236       0.00782
30801.409      0.09968      -0.80669
30826.921     -0.03173       1.55257
30852.385     -0.02017       3.84057
30877.801      0.08663      -0.52690
30903.169      0.06255       0.75066
30928.489      0.05968       1.21852
30953.761      0.09694      -0.71995
30978.985      0.03803      -3.18983
31004.161     -0.02659       1.18093
31029.289      0.04646       0.30052
31054.369      0.11019      -0.39574
31079.401      0.02644       0.75239
31104.385      0.08667      -0.00649
31129.321      0.09158      -0.90586
31154.209      0.01863      -3.18578
31179.049      0.04540       1.08761
31203.841     -0.00823      -7.65645
31228.585     -0.05563       0.09030
31253.281      0.10887      -0.81023
31277.929      0.08813      -1.29991
31302.529     -0.00370      18.96445
31327.081      0.03178       1.93625
31351.585      0.04781       2.82093
31376.041      0.09958      -1.06594
31400.449      0.04960      -4.41091
31424.809      0.09643      -0.76154
31449.121      0.05850       1.00883
31473.385     -0.01130       0.72859
31497.601      0.09935      -1.31835
31521.769      0.02149      -5.33517
31545.889      0.03825       0.62129
31569.961      0.02940      -0.58044
31593.985     -0.01457       0.91523
31617.961      0.01274       0.60173
31641.889      0.05080      -0.90875
31665.769     -0.05360      -2.15325
31689.601     -0.09024      -0.79829
31713.385      0.06599      -0.56800
31737.121      0.14344      -0.47957
31760.809      0.08000      -0.67529
31784.449      0.06443      -2.35539
31808.041      0.05588      -3.07935
31831.585     -0.04507      -0.04681
31855.081      0.02987      -0.09482
31878.529      0.16415      -0.48039
31901.929     -0.00587     -13.76598
31925.281     -0.15619      -1.14207
31948.585      0.01492       0.47123
31971.841      0.10425       0.79056
31995.049      0.13392      -0.08656
32018.209      0.13444      -1.06943
32041.321      0.02315      -3.40044
32064.385     -0.00618      14.25016
32087.401     -0.01971      -2.80559
32110.369     -0.03101      -3.30471
32133.289      0.03992       0.67956
32156.161      0.01914      -6.53144
32178.985      0.00727     -14.62812
32201.761      0.11097      -0.69412
32224.489      0.08894      -0.60018
32247.169      0.08454      -1.56483
32269.801      0.09578      -0.83043
32292.385      0.06039      -0.09746
32314.921      0.06334       0.28413
32337.409      0.03714       1.71968
32359.849      0.03635      -2.92271
32382.241      0.08302      -3.08399
32404.585      0.02118      -2.41966
32426.881     -0.03095      -2.67441
32449.129      0.00777      -3.37298
32471.329      0.00154     -29.32401
32493.481     -0.00253      -4.26143
32515.585      0.03534      -2.01615
32537.641      0.03889      -0.92141
32559.649     -0.00325       0.25746
32581.609     -0.00116      69.05811
32603.521      0.06300      -1.21163
32625.385      0.06945      -0.66264
32647.201     -0.04162      -2.00980
32668.969      0.03142       0.98596
32690.689      0.13448      -0.25671
32712.361      0.06660      -0.47966
32733.985      0.01812      -6.24654
32755.561     -0.01652       3.23860
32777.089     -0.00173       9.62441
32798.569      0.01429       1.34667
32820.001      0.10080      -1.10778
32841.385      0.10505      -0.19107
32862.721     -0.03425      -2.42365
32884.009      0.02387      -1.63013
32905.249      0.15700      -0.82822
32926.441     -0.00127      48.63343
32947.585     -0.04760      -1.03227
32968.681      0.04424      -0.38708
32989.729      0.01744      -1.27334
33010.729     -0.00251     -11.55220
33031.681      0.09849       0.40926
33052.585      0.08132       0.58254
33073.441      0.03221      -1.48906
33094.249     -0.02968       5.81708
33115.009      0.04141      -4.04810
33135.721      0.06919      -1.33631
33156.385     -0.03269       1.40700
33177.001     -0.03356       0.73972
33197.569      0.01403      -0.55992
33218.089      0.08986      -0.08271
33238.561      0.08000       0.06190
33258.985      0.03245       0.55674
33279.361      0.03902       0.00501
33299.689      0.00627     -12.86900
33319.969      0.02261      -5.25788
33340.201      0.02500      -1.64087
33360.385      0.05984      -0.40613
33380.521      0.06560      -0.03456
33400.609      0.09700      -0.01652
33420.649      0.07099       1.18924
33440.641     -0.00586     -15.60007
33460.585      0.03974      -1.19853
33480.481      0.05443      -2.05131
33500.329      0.04342      -2.62358
33520.129      0.00803      -6.00850
33539.881     -0.00693      -1.55499
33559.585      0.03546      -1.31074
33579.241      0.05667      -1.94403
33598.849      0.04199      -3.27909
33618.409      0.01404      -1.64088
33637.921      0.06886       0.15279
33657.385      0.05480      -0.84057
33676.801      0.03906       0.43788
33696.169      0.03303       3.51307
33715.489     -0.00074     -53.10139
33734.761      0.06712      -1.30523
33753.985      0.08648      -0.83058
33773.161      0.04794      -1.04113
33792.289      0.05934      -1.24169
33811.369      0.06074      -1.28104
33830.401      0.04141       0.93443
33849.385     -0.01743      -5.18552
33868.321     -0.00276      13.52041
33887.209     -0.06215       0.86849
33906.049     -0.04323      -0.15677
33924.841      0.06280       0.09712
33943.585      0.09455      -1.39391
33962.281      0.11744      -0.59444
33980.929      0.02900       1.79566
33999.529     -0.00011     811.51878
34018.081      0.05969      -1.81696
34036.585      0.07968      -1.05555
34055.041      0.02808      -2.23406
34073.449      0.04160      -2.08953
34091.809      0.08581      -0.36500
34110.121      0.04515      -0.14661
34128.385      0.01237      -0.98825
34146.601     -0.02666      -1.07115
34164.769      0.01643      -2.81932
34182.889      0.02560      -3.05023
34200.961      0.03452      -1.65679
34218.985      0.05387      -1.73113
34236.961     -0.00798      10.27775
34254.889     -0.06267      -0.84016
34272.769     -0.01167      -3.21626
34290.601      0.09241       0.43098
34308.385      0.07315       0.56350
34326.121     -0.02237      -0.95884
34343.809     -0.04097      -0.23902
34361.449      0.02103      -3.89079
34379.041      0.05663      -1.47194
34396.585      0.04805      -0.75422
34414.081     -0.03149       0.18296
34431.529      0.01131      -2.70071
34448.929      0.05009      -2.04866
34466.281      0.06359      -1.40980
34483.585      0.07669      -0.63906
34500.841      0.03016      -0.57045
34518.049      0.04730       0.58694
34535.209      0.06282      -0.52204
34552.321      0.01947      -3.81229
34569.385      0.02905      -0.44989
34586.401      0.07177       1.08399
34603.369      0.11712      -0.17714
34620.289      0.06517      -1.99626
34637.161      0.04939      -4.60006
34653.985      0.09577      -1.95807
34670.761      0.06477      -1.14974
34687.489     -0.00678      -4.05502
34704.169      0.00148      27.11745
34720.801      0.01427      -0.87319
34737.385      0.04260      -1.20216
34753.921      0.01083      -7.33884
34770.409      0.02402      -3.59991
34786.849      0.07839      -0.77493
34803.241     -0.01417      -5.09361
34819.585     -0.01849      -7.55781
34835.881      0.05624      -0.43553
34852.129      0.09608      -1.70879
34868.329      0.06094      -0.12966
34884.481      0.02848       0.39541
34900.585      0.05969      -1.62201
34916.641      0.07591       0.01923
34932.649      0.03167       0.46302
34948.609     -0.00565       4.05036
34964.521      0.03231      -3.88282
34980.385      0.00215     -54.84582
34996.201     -0.01887       0.03380
35011.969      0.03042      -1.11785
35027.689      0.05495      -2.05874
35043.361      0.05761      -1.63372
35058.985      0.08430      -0.11256
35074.561      0.09597      -1.39986
35090.089      0.04927      -3.12296
35105.569      0.03218       1.10271
35121.001      0.06909       0.70088
35136.385      0.06317      -0.77036
35151.721      0.01056      -1.79351
35167.009      0.02693      -1.12902
35182.249     -0.02642       0.00472
35197.441     -0.04272      -0.21348
35212.585      0.03953       0.28717
35227.681     -0.00804     -13.51313
35242.729     -0.00011    -420.17915
35257.729      0.08040      -2.60453
35272.681      0.08428      -0.78855
35287.585      0.06433       0.69299
35302.441      0.02908      -0.10893
35317.249     -0.00227      11.68608
35332.009      0.07667      -0.74342
35346.721      0.06090      -1.14298
35361.385      0.07963      -0.95887
35376.001      0.05433      -1.75771
35390.569     -0.04848      -1.24693
35405.089     -0.00921      -9.72430
35419.561      0.11760      -0.26484
35433.985      0.09943      -0.58677
35448.361      0.07672      -1.35873
35462.689      0.08187      -1.94492
35476.969      0.04851      -3.56861
35491.201      0.03739      -1.89797
35505.385     -0.00640      -4.42097
35519.521     -0.01535      -1.13333
35533.609      0.01969      -0.23337
35547.649      0.00820      14.21449
35561.641      0.00645       9.16540
35575.585      0.03753      -1.63130
35589.481      0.05754      -0.55677
35603.329      0.10633      -0.36056
35617.129      0.13506      -1.02150
35630.881      0.16954      -1.01844
35644.585      0.11387      -2.05856
35658.241      0.00964      -1.13898
35671.849      0.03157       2.75929
35685.409      0.05804       0.65065
35698.921      0.04910      -2.05085
35712.385      0.05593      -2.40782
35725.801      0.10010      -0.63614
35739.169      0.10813      -1.15156
35752.489      0.07436      -1.27085
35765.761      0.03110       0.56843
35778.985      0.00422      10.62978
35792.161      0.00916      -3.83197
35805.289      0.05882      -1.42916
35818.369      0.10542      -0.56533
35831.401      0.07598       0.67913
35844.385     -0.01626      -2.53976
35857.321     -0.00677       2.47537
35870.209      0.09599       0.46392
35883.049      0.07307      -0.18512
35895.841      0.03088      -0.86272
35908.585      0.03657      -0.71328
35921.281      0.06164      -1.18668
35933.929      0.03800      -1.72946
35946.529      0.05788      -0.70837
35959.081      0.06988      -1.40767
35971.585      0.06452      -1.01260
35984.041      0.05624      -0.68519
35996.449      0.05496      -0.67227
36008.809      0.07408      -0.88949
36021.121      0.05274      -1.18557
36033.385      0.04476      -2.12950
36045.601      0.06652      -1.28686
36057.769      0.10908      -0.12759
36069.889      0.08006       1.01958
36081.961      0.01995       1.07594
36093.985      0.06375      -0.97678
36105.961      0.06254      -1.07412
36117.889      0.05471      -0.44780
36129.769      0.07731       0.77971
36141.601      0.01631       5.16434
36153.385     -0.06164      -1.53566
36165.121      0.00698       7.15029
36176.809      0.04539      -1.52394
36188.449      0.06655      -1.62854
36200.041      0.09427      -0.79252
36211.585      0.10048       0.83844
36223.081      0.09052       1.63953
36234.529      0.07993      -0.06534
36245.929      0.07874      -1.70235
36257.281      0.10208      -2.00826
36268.585      0.10829      -1.61616
36279.841      0.04290      -2.04136
36291.049     -0.03352       0.21491
36302.209      0.03472       0.01672
36313.321      0.14612      -0.06750
