# eBE(cm-1)  int. (rel. X0)  beta
36405.835      0.02546      -0.77656
36411.169      0.01519      -1.45600
36416.491      0.00241      -3.29186
36421.801      0.02594      -1.09915
36427.099     -0.01323      -1.19585
36432.385      0.02767      -1.35711
36437.659      0.00832      -0.55966
36442.921      0.02316      -1.09030
36448.171      0.01395      -3.48558
36453.409     -0.00249       1.98639
36458.635      0.02187      -0.33009
36463.849      0.00446      -2.26107
36469.051      0.02462       0.19053
36474.241      0.01057      -1.35168
36479.419      0.00451      -0.62494
36484.585      0.01317      -2.00727
36489.739      0.00953      -1.65400
36494.881      0.02341      -1.16128
36500.011      0.01597      -1.22692
36505.129      0.01167      -0.44979
36510.235      0.02236      -0.90835
36515.329      0.01938      -0.89244
36520.411      0.01605       0.45917
36525.481     -0.00214       3.76821
36530.539      0.02366      -1.42412
36535.585      0.00127       4.63051
36540.619      0.00605      -2.64435
36545.641      0.00722      -2.58008
36550.651      0.01960      -0.12262
36555.649      0.01550      -0.38232
36560.635      0.01914      -0.65394
36565.609      0.00769      -1.54411
36570.571      0.02476      -1.31048
36575.521      0.00309       2.33027
36580.459      0.03595      -1.42104
36585.385      0.00663       5.21651
36590.299      0.02441      -1.66249
36595.201      0.01718      -1.50591
36600.091      0.00460      -2.92517
36604.969     -0.01141      -0.73010
36609.835      0.03637      -1.62146
36614.689      0.00779      -0.14413
36619.531      0.02200      -0.83311
36624.361      0.03892      -1.67117
36629.179      0.01325       0.52455
36633.985      0.00776       0.31678
36638.779      0.00677      -5.55208
36643.561      0.01917       0.24725
36648.331      0.00328      -7.18309
36653.089      0.02537      -1.33743
36657.835      0.01954      -1.63389
36662.569      0.00794       0.23950
36667.291      0.01394       0.28236
36672.001      0.01481      -0.88563
36676.699      0.03147      -1.48816
36681.385      0.00624       1.11589
36686.059      0.00600      -4.70416
36690.721      0.00388      -2.85500
36695.371      0.04043      -0.89380
36700.009      0.00105      -2.12700
36704.635      0.03248      -0.88420
36709.249      0.00217       6.70592
36713.851      0.00108     -21.12127
36718.441      0.01493      -1.69825
36723.019      0.01663      -1.58729
36727.585      0.02394      -0.02208
36732.139      0.01014      -2.74290
36736.681      0.02258      -1.69952
36741.211      0.00281       1.96152
36745.729      0.01041       1.06448
36750.235      0.02370      -2.12085
36754.729      0.01434      -1.10602
36759.211      0.01828      -0.46000
36763.681      0.02342      -0.49343
36768.139      0.00561       0.21906
36772.585     -0.00138       8.77724
36777.019      0.03399      -1.58895
36781.441      0.00775      -0.36985
36785.851      0.00008     -65.00310
36790.249      0.03435      -1.26157
36794.635      0.00258      -2.14157
36799.009      0.01827       0.02476
36803.371      0.02487      -0.30797
36807.721      0.01435      -3.75518
36812.059      0.03681      -0.56415
36816.385      0.01036      -1.52664
36820.699     -0.01017      -1.34889
36825.001      0.03078      -1.58802
36829.291      0.01928      -0.92811
36833.569      0.01618       0.24101
36837.835     -0.00823      -0.87440
36842.089      0.05384      -1.33634
36846.331      0.01308      -0.69912
36850.561     -0.01271      -0.62768
36854.779      0.02930      -1.09572
36858.985      0.03929      -2.05585
36863.179      0.00927       1.42514
36867.361      0.00720      -2.10003
36871.531      0.03053      -0.53094
36875.689      0.01206      -1.86450
36879.835      0.02032      -1.97854
36883.969     -0.00697      -4.41653
36888.091      0.02983      -1.23157
36892.201      0.00426      -1.51978
36896.299      0.01941      -0.29045
36900.385      0.02992      -1.26368
36904.459      0.01683      -0.67856
36908.521      0.01863      -2.02557
36912.571      0.01377      -0.61124
36916.609      0.02600      -0.93283
36920.635      0.01082      -3.08623
36924.649      0.02232      -0.55154
36928.651      0.01769      -2.08097
36932.641      0.00866      -0.06051
36936.619      0.02477      -1.62918
36940.585      0.02756      -0.59230
36944.539      0.01041       0.64888
36948.481      0.01659      -0.46508
36952.411      0.02463      -1.34106
36956.329      0.03188      -0.33754
36960.235     -0.00069       0.66091
36964.129      0.01096      -0.45618
36968.011      0.02169      -2.11927
36971.881      0.01167       0.76461
36975.739      0.01568      -1.50982
36979.585      0.03049      -1.94881
36983.419      0.00080      26.95077
36987.241      0.03694      -0.84444
36991.051      0.00660       2.01298
36994.849      0.02909      -2.22280
36998.635      0.00503      -0.49919
37002.409      0.02926      -0.38032
37006.171      0.01826      -1.15428
37009.921      0.02152      -1.54757
37013.659      0.00955      -0.66109
37017.385      0.02488      -0.87371
37021.099      0.02452      -0.71305
37024.801      0.01146      -0.96254
37028.491      0.03168      -0.42041
37032.169      0.01177      -3.58133
37035.835      0.01927      -0.32472
37039.489      0.03076      -0.84705
37043.131      0.04000      -0.86578
37046.761      0.00589      -2.50152
37050.379      0.01264      -1.49969
37053.985      0.01988       0.23714
37057.579      0.02421      -2.11990
37061.161      0.03168      -0.51020
37064.731      0.00511       2.69439
37068.289      0.01681      -3.53272
37071.835      0.01637       0.20555
37075.369      0.04513      -0.96156
37078.891      0.03956      -0.90171
37082.401     -0.01182      -1.37739
37085.899      0.02854      -0.80833
37089.385      0.02451      -0.62219
37092.859      0.03033      -0.98557
37096.321      0.00511      -3.81566
37099.771      0.01536      -0.47424
37103.209      0.02167      -0.80863
37106.635      0.02918      -0.04820
37110.049      0.02805      -1.11515
37113.451      0.00740      -3.00955
37116.841      0.02182      -0.79859
37120.219      0.04649      -0.29598
37123.585     -0.00360      -2.97325
37126.939      0.02080      -0.57666
37130.281      0.02398      -1.43727
37133.611      0.03125      -1.51982
37136.929      0.02865      -0.40243
37140.235      0.04895      -0.91359
37143.529      0.01697      -0.79815
